position_size_usd,policy,raw_apy_pct,slippage_bp_avg,slippage_drag_pct,net_apy_pct,n_rebalances,mev_bp,mev_drag_pct,net_apy_post_mev_pct
100000.0,b1_always_aave,3.2608618807121736,0.0008922833696442,0.0,3.2608618807121736,0,0.0,0.0,3.2608618807121736
100000.0,b4_mcdm_ema,4.402511760575001,0.1070719853910654,0.3582454324235236,4.044266328151477,55,0.0,0.0,4.044266328151477
100000.0,t1_threshold,4.600704614334994,0.1453136132462507,0.3359170247471023,4.264787589587892,38,0.0,0.0,4.264787589587892
100000.0,t2_optimal_stopping,4.589295030578744,0.1737843309153663,1.0677611290338034,3.5215339015449403,101,0.0,0.0,3.5215339015449403
1000000.0,b1_always_aave,3.2608618807121736,0.0089228336964429,0.0,3.2608618807121736,0,0.0,0.0,3.2608618807121736
1000000.0,b4_mcdm_ema,4.402511760575001,1.0707198539106544,3.582454324235236,0.8200574363397648,55,0.0,0.0,0.8200574363397648
1000000.0,t1_threshold,4.600704614334994,1.4531361324625074,3.359170247471023,1.241534366863971,38,0.0,0.0,1.241534366863971
1000000.0,t2_optimal_stopping,4.589295030578744,1.7378433091536634,10.677611290338032,-6.0883162597592895,101,0.0,0.0,-6.0883162597592895
5000000.0,b1_always_aave,3.2608618807121736,0.0446141684822148,0.0,3.2608618807121736,0,0.0,0.0,3.2608618807121736
5000000.0,b4_mcdm_ema,4.402511760575001,5.353599269553273,17.912271621176185,-13.509759860601184,55,0.0,0.0,-13.509759860601184
5000000.0,t1_threshold,4.600704614334994,7.265680662312536,16.795851237355112,-12.19514662302012,38,0.0,0.0,-12.19514662302012
5000000.0,t2_optimal_stopping,4.589295030578744,8.689216545768316,53.38805645169016,-48.798761421111415,101,0.0,0.0,-48.798761421111415
25000000.0,b1_always_aave,3.2608618807121736,0.2230708424110744,0.0,3.2608618807121736,0,0.0,0.0,3.2608618807121736
25000000.0,b4_mcdm_ema,4.402511760575001,26.767996347766367,89.56135810588093,-85.15884634530593,55,0.0,0.0,-85.15884634530593
25000000.0,t1_threshold,4.600704614334994,36.32840331156269,83.9792561867756,-79.3785515724406,38,0.0,0.0,-79.3785515724406
25000000.0,t2_optimal_stopping,4.589295030578744,43.4460827288416,266.9402822584509,-262.35098722787217,101,0.0,0.0,-262.35098722787217
50000000.0,b1_always_aave,3.2608618807121736,0.4461416848221489,0.0,3.2608618807121736,0,0.0,0.0,3.2608618807121736
50000000.0,b4_mcdm_ema,4.402511760575001,53.535992695532734,179.12271621176183,-174.72020445118685,55,0.0,0.0,-174.72020445118685
50000000.0,t1_threshold,4.600704614334994,72.65680662312538,167.9585123735512,-163.3578077592162,38,0.0,0.0,-163.3578077592162
50000000.0,t2_optimal_stopping,4.589295030578744,86.89216545768319,533.8805645169018,-529.2912694863231,101,0.0,0.0,-529.2912694863231
100000.0,b1_always_aave,3.2608618807121736,0.0008922833696442,0.0,3.2608618807121736,0,5.0,0.0,3.2608618807121736
100000.0,b4_mcdm_ema,4.402511760575001,0.1070719853910654,0.3582454324235236,4.044266328151477,55,5.0,8.364583333333334,-4.320317005181857
100000.0,t1_threshold,4.600704614334994,0.1453136132462507,0.3359170247471023,4.264787589587892,38,5.0,5.779166666666667,-1.5143790770787744
100000.0,t2_optimal_stopping,4.589295030578744,0.1737843309153663,1.0677611290338034,3.5215339015449403,101,5.0,15.360416666666667,-11.838882765121728
1000000.0,b1_always_aave,3.2608618807121736,0.0089228336964429,0.0,3.2608618807121736,0,5.0,0.0,3.2608618807121736
1000000.0,b4_mcdm_ema,4.402511760575001,1.0707198539106544,3.582454324235236,0.8200574363397648,55,5.0,8.364583333333334,-7.544525896993569
1000000.0,t1_threshold,4.600704614334994,1.4531361324625074,3.359170247471023,1.241534366863971,38,5.0,5.779166666666667,-4.537632299802696
1000000.0,t2_optimal_stopping,4.589295030578744,1.7378433091536634,10.677611290338032,-6.0883162597592895,101,5.0,15.360416666666667,-21.448732926425958
5000000.0,b1_always_aave,3.2608618807121736,0.0446141684822148,0.0,3.2608618807121736,0,5.0,0.0,3.2608618807121736
5000000.0,b4_mcdm_ema,4.402511760575001,5.353599269553273,17.912271621176185,-13.509759860601184,55,5.0,8.364583333333334,-21.874343193934518
5000000.0,t1_threshold,4.600704614334994,7.265680662312536,16.795851237355112,-12.19514662302012,38,5.0,5.779166666666667,-17.974313289686787
5000000.0,t2_optimal_stopping,4.589295030578744,8.689216545768316,53.38805645169016,-48.798761421111415,101,5.0,15.360416666666667,-64.15917808777809
25000000.0,b1_always_aave,3.2608618807121736,0.2230708424110744,0.0,3.2608618807121736,0,5.0,0.0,3.2608618807121736
25000000.0,b4_mcdm_ema,4.402511760575001,26.767996347766367,89.56135810588093,-85.15884634530593,55,5.0,8.364583333333334,-93.52342967863926
25000000.0,t1_threshold,4.600704614334994,36.32840331156269,83.9792561867756,-79.3785515724406,38,5.0,5.779166666666667,-85.15771823910727
25000000.0,t2_optimal_stopping,4.589295030578744,43.4460827288416,266.9402822584509,-262.35098722787217,101,5.0,15.360416666666667,-277.7114038945388
50000000.0,b1_always_aave,3.2608618807121736,0.4461416848221489,0.0,3.2608618807121736,0,5.0,0.0,3.2608618807121736
50000000.0,b4_mcdm_ema,4.402511760575001,53.535992695532734,179.12271621176183,-174.72020445118685,55,5.0,8.364583333333334,-183.0847877845202
50000000.0,t1_threshold,4.600704614334994,72.65680662312538,167.9585123735512,-163.3578077592162,38,5.0,5.779166666666667,-169.13697442588287
50000000.0,t2_optimal_stopping,4.589295030578744,86.89216545768319,533.8805645169018,-529.2912694863231,101,5.0,15.360416666666667,-544.6516861529898
100000.0,b1_always_aave,3.2608618807121736,0.0008922833696442,0.0,3.2608618807121736,0,15.0,0.0,3.2608618807121736
100000.0,b4_mcdm_ema,4.402511760575001,0.1070719853910654,0.3582454324235236,4.044266328151477,55,15.0,25.093750000000004,-21.049483671848527
