position_size_usd,policy,raw_apy_pct,slippage_bp_avg,slippage_drag_pct,net_apy_pct,n_rebalances
100000.0,b1_always_aave,3.2608618807121736,0.0008922833696442977,0.0,3.2608618807121736,0
100000.0,b4_mcdm_ema,4.402511760575001,0.10707198539106545,0.3582454324235236,4.044266328151477,55
100000.0,t1_threshold,4.600704614334994,0.14531361324625075,0.33591702474710233,4.2647875895878915,38
100000.0,t2_optimal_stopping,4.589295030578744,0.17378433091536633,1.0677611290338034,3.5215339015449403,101
1000000.0,b1_always_aave,3.2608618807121736,0.00892283369644298,0.0,3.2608618807121736,0
1000000.0,b4_mcdm_ema,4.402511760575001,1.0707198539106544,3.5824543242352362,0.8200574363397648,55
1000000.0,t1_threshold,4.600704614334994,1.4531361324625074,3.359170247471023,1.241534366863971,38
1000000.0,t2_optimal_stopping,4.589295030578744,1.7378433091536634,10.677611290338033,-6.0883162597592895,101
5000000.0,b1_always_aave,3.2608618807121736,0.04461416848221488,0.0,3.2608618807121736,0
5000000.0,b4_mcdm_ema,4.402511760575001,5.353599269553273,17.912271621176185,-13.509759860601184,55
5000000.0,t1_threshold,4.600704614334994,7.265680662312536,16.795851237355112,-12.19514662302012,38
5000000.0,t2_optimal_stopping,4.589295030578744,8.689216545768316,53.38805645169016,-48.798761421111415,101
25000000.0,b1_always_aave,3.2608618807121736,0.22307084241107444,0.0,3.2608618807121736,0
25000000.0,b4_mcdm_ema,4.402511760575001,26.767996347766367,89.56135810588093,-85.15884634530593,55
25000000.0,t1_threshold,4.600704614334994,36.32840331156269,83.9792561867756,-79.3785515724406,38
25000000.0,t2_optimal_stopping,4.589295030578744,43.446082728841596,266.9402822584509,-262.35098722787217,101
50000000.0,b1_always_aave,3.2608618807121736,0.4461416848221489,0.0,3.2608618807121736,0
50000000.0,b4_mcdm_ema,4.402511760575001,53.535992695532734,179.12271621176185,-174.72020445118685,55
50000000.0,t1_threshold,4.600704614334994,72.65680662312538,167.9585123735512,-163.3578077592162,38
50000000.0,t2_optimal_stopping,4.589295030578744,86.89216545768319,533.8805645169018,-529.2912694863231,101
