window_id,window_start,window_end,policy,n_blocks,net_apy_pct,sharpe,sortino,max_drawdown_pct,n_rebalances
W1,2024-11-01,2025-02-01,t3_hazard,662400,11.354440303550772,41.564846296689886,inf,0.0,157
W2,2025-02-01,2025-05-01,t3_hazard,640800,4.775521159086904,46.577534244664854,inf,0.0,21
W3,2025-05-01,2025-08-01,t3_hazard,662400,6.548742316861622,42.03871064397755,inf,0.0,39
W4,2025-08-01,2025-11-01,t3_hazard,662400,6.334365947556275,47.682481858855255,inf,0.0,19
W5,2025-11-01,2026-02-01,t3_hazard,662400,5.081013671182166,41.7914505063046,inf,0.0,32
W6,2026-02-01,2026-05-01,t3_hazard,640799,4.785267669846904,32.87640233540271,inf,0.0,37
