gas_gwei,policy,net_apy_pct,n_rebalances,gas_spent_usd,final_equity_usd
10.0,t1_threshold,5.240468021617306,134,645.5995872186744,1016928.4081294939
10.0,t2_optimal_stopping,5.21100664118288,163,846.6742763897577,1016834.8052114536
25.0,t1_threshold,5.026081657744519,55,624.1430060274196,1016237.8228909303
25.0,t2_optimal_stopping,4.823358934483513,159,2072.83447007701,1015592.5104247777
50.0,t1_threshold,4.727541367784638,27,615.2238059638271,1015272.1444483642
50.0,t2_optimal_stopping,4.170142277398425,159,4145.66894015402,1013492.418715545
100.0,t1_threshold,4.475927767337207,9,421.23561584650446,1014439.4469937742
100.0,t2_optimal_stopping,2.872091303790003,159,8291.33788030804,1009292.9836001497
200.0,t1_threshold,4.16612439278663,6,588.0405098094374,1013389.3343717216
200.0,t2_optimal_stopping,0.30591646576707543,159,16583.118776601867,1000885.8952659006
