position_size_usd,policy,raw_apy_pct,yield_impact_bp_avg,yield_drag_pp,net_apy_pct,n_rebalances,capacity_ok
1000000.0,b1_always_aave,4.640985868432312,0.05064681982020572,0.0005064681982020571,4.640479400234111,0,True
5000000.0,b1_always_aave,4.640985868432312,0.25293277019489685,0.0025293277019489686,4.638456540730363,0,True
25000000.0,b1_always_aave,4.640985868432312,1.2571840939202013,0.012571840939202012,4.62841402749311,0,True
50000000.0,b1_always_aave,4.640985868432312,2.495915810283238,0.02495915810283238,4.61602671032948,0,True
1000000.0,t1_threshold,8.633140886070434,6.452598492866992,0.06452598492866991,8.568614901141764,1735,True
5000000.0,t1_threshold,8.633140886070434,26.989390360286773,0.26989390360286775,8.363246982467567,1735,True
25000000.0,t1_threshold,8.633140886070434,76.9335065256002,0.7693350652560019,7.863805820814432,1735,True
50000000.0,t1_threshold,8.633140886070434,103.14587238673809,1.031458723867381,7.601682162203053,1735,True
1000000.0,t2_optimal_stopping,8.53025455616978,6.612655018222586,0.06612655018222587,8.464128005987554,906,True
5000000.0,t2_optimal_stopping,8.53025455616978,27.662029198287485,0.27662029198287486,8.253634264186905,906,True
25000000.0,t2_optimal_stopping,8.53025455616978,78.79954350248833,0.7879954350248833,7.742259121144897,906,True
50000000.0,t2_optimal_stopping,8.53025455616978,105.49011947692735,1.0549011947692735,7.475353361400506,906,True
1000000.0,t3_hazard,8.633140886070434,6.452598492866992,0.06452598492866991,8.568614901141764,1735,True
5000000.0,t3_hazard,8.633140886070434,26.989390360286773,0.26989390360286775,8.363246982467567,1735,True
25000000.0,t3_hazard,8.633140886070434,76.9335065256002,0.7693350652560019,7.863805820814432,1735,True
50000000.0,t3_hazard,8.633140886070434,103.14587238673809,1.031458723867381,7.601682162203053,1735,True
