window_id,compound_apy_pct,n_hours
W1,9.428204065776713,2208
W2,4.296114328715084,2136
W3,4.221609491988643,2208
W4,4.553131250142406,2208
W5,3.961064696531613,2208
W6,2.550860903553831,1936
