window_id,window_start,window_end,train_end_block,n_train_design,t1_apy_pct,t3_apy_pct,delta_bp
W2,2025-02-01,2025-05-01,21752868,8132,6.920769072650623,6.785620857822727,-13.514821482789596
W3,2025-05-01,2025-08-01,22393668,18792,7.7965521532486814,7.7653474649789,-3.12046882697814
W4,2025-08-01,2025-11-01,23056068,29832,7.174827447972132,7.102826039129573,-7.200140884255912
W5,2025-11-01,2026-02-01,23718468,40872,5.870458541297663,5.825890144595136,-4.456839670252677
W6,2026-02-01,2026-04-30,24380868,51912,5.60839749986759,5.59285580435076,-1.5541695516829712
