gas,policy,net_apy_pct,n_rebalances,gas_spent_usd
const25,b1_always_aave,3.2608618807235645,1,14.838276506694609
const25,t1_threshold,5.026081657744519,55,624.1430060274196
const25,t2_optimal_stopping,4.823358934483513,159,2072.83447007701
real,b1_always_aave,3.260861880706667,1,0.02028799916891133
real,t1_threshold,5.509418345200956,311,60.70017427888598
real,t2_optimal_stopping,5.470989792656389,167,27.93239909493537
