,date,lending_rate,borrowing_rate
0,2026-05-12 11:00:00+00:00,3.9546963448082015e-06,4.782579497188914e-06
1,2026-05-12 12:00:00+00:00,3.94595219950003e-06,4.773790483132465e-06
2,2026-05-12 13:00:00+00:00,3.962358486090327e-06,4.794958398503146e-06
3,2026-05-12 14:00:00+00:00,4.383705482298251e-06,5.304579609118027e-06
4,2026-05-12 15:00:00+00:00,4.02818439660278e-06,4.870756950827634e-06
5,2026-05-12 16:00:00+00:00,3.886910865761858e-06,4.7039770546196344e-06
6,2026-05-12 17:00:00+00:00,4.184396273027573e-06,5.058300456284944e-06
7,2026-05-12 18:00:00+00:00,4.48465385584496e-06,5.41951832211454e-06
8,2026-05-12 19:00:00+00:00,3.6381975801768108e-06,4.405967582632731e-06
9,2026-05-12 20:00:00+00:00,4.052224842334294e-06,4.908168380497037e-06
10,2026-05-12 21:00:00+00:00,3.532129560697758e-06,4.271803246051102e-06
11,2026-05-12 22:00:00+00:00,4.531375743749098e-06,5.4825362051189035e-06
12,2026-05-12 23:00:00+00:00,4.028093854133653e-06,4.871384456398511e-06
13,2026-05-13 00:00:00+00:00,5.307680587185987e-06,6.267818805927568e-06
14,2026-05-13 01:00:00+00:00,9.394838680777365e-06,1.0770636999763823e-05
15,2026-05-13 02:00:00+00:00,4.428742746655028e-06,5.334026127274435e-06
16,2026-05-13 03:00:00+00:00,3.997693854005978e-06,4.836757452231877e-06
17,2026-05-13 04:00:00+00:00,3.3315242868699566e-06,4.029492863427991e-06
18,2026-05-13 05:00:00+00:00,4.873595999481553e-06,5.903030982647843e-06
19,2026-05-13 06:00:00+00:00,4.247884677686878e-06,5.14134189406276e-06
20,2026-05-13 07:00:00+00:00,3.764479633003089e-06,4.55442845891648e-06
21,2026-05-13 08:00:00+00:00,3.896205076498494e-06,4.714186013947929e-06
22,2026-05-13 09:00:00+00:00,4.043026272085859e-06,4.8927193927635975e-06
23,2026-05-13 10:00:00+00:00,4.161324010851492e-06,5.037327833242167e-06
24,2026-05-13 11:00:00+00:00,3.7780757030349443e-06,4.571639232954997e-06
25,2026-05-13 12:00:00+00:00,4.178611668704391e-06,5.057861255384468e-06
26,2026-05-13 13:00:00+00:00,4.503593774322892e-06,5.451185091215522e-06
27,2026-05-13 14:00:00+00:00,3.5769004625249387e-06,4.329578903084034e-06
28,2026-05-13 15:00:00+00:00,3.581536511296577e-06,4.3370803174716305e-06
29,2026-05-13 16:00:00+00:00,4.338431636175193e-06,5.258115239155019e-06
30,2026-05-13 17:00:00+00:00,3.86299467575904e-06,4.67867286868902e-06
31,2026-05-13 18:00:00+00:00,4.097827320346798e-06,4.958770244840976e-06
32,2026-05-13 19:00:00+00:00,3.971312951614745e-06,4.798817566838883e-06
33,2026-05-13 20:00:00+00:00,4.083972210657041e-06,4.935681606873395e-06
34,2026-05-13 21:00:00+00:00,5.075732621467028e-06,6.13663907149221e-06
35,2026-05-13 22:00:00+00:00,3.305195146553834e-06,3.9949572425185675e-06
36,2026-05-13 23:00:00+00:00,3.8492698851132225e-06,4.666034243681803e-06
37,2026-05-14 00:00:00+00:00,5.721213464448953e-06,6.746907881438023e-06
38,2026-05-14 01:00:00+00:00,9.240434985796954e-06,1.0574287666483657e-05
39,2026-05-14 02:00:00+00:00,4.417196643383316e-06,5.310824587155867e-06
40,2026-05-14 03:00:00+00:00,3.823417584393687e-06,4.63381715224497e-06
41,2026-05-14 04:00:00+00:00,4.224345733809559e-06,5.119705271078533e-06
42,2026-05-14 05:00:00+00:00,3.020965838666587e-06,3.6531837894908577e-06
43,2026-05-14 06:00:00+00:00,4.823302479484927e-06,5.841520938082293e-06
44,2026-05-14 07:00:00+00:00,4.42465753191225e-06,5.352204896844067e-06
45,2026-05-14 08:00:00+00:00,3.270337024670948e-06,3.952433519562011e-06
46,2026-05-14 09:00:00+00:00,4.410873705909691e-06,5.341445532969624e-06
47,2026-05-14 10:00:00+00:00,4.410873705909691e-06,5.341445532969624e-06
