,date,lending_rate,borrowing_rate
0,2026-04-14 10:00:00+00:00,2.3555456743578177e-06,3.446262928481076e-06
1,2026-04-14 14:00:00+00:00,2.6936712818748817e-06,3.9475467646158215e-06
2,2026-04-14 18:00:00+00:00,2.582185565644299e-06,3.754383799737843e-06
3,2026-04-14 22:00:00+00:00,2.6780416420241736e-06,3.892606317332961e-06
4,2026-04-15 02:00:00+00:00,2.6935735420563276e-06,3.92453335702383e-06
5,2026-04-15 06:00:00+00:00,2.6390620310491435e-06,3.8667968429092214e-06
6,2026-04-15 10:00:00+00:00,2.6810588857636157e-06,3.936328341736097e-06
7,2026-04-15 14:00:00+00:00,2.593294557426817e-06,3.778452789307059e-06
8,2026-04-15 18:00:00+00:00,2.6329445641480475e-06,3.7949509500838807e-06
9,2026-04-15 22:00:00+00:00,2.7771206518416887e-06,3.997024639011407e-06
10,2026-04-16 02:00:00+00:00,2.8552873824191383e-06,4.043509645836768e-06
11,2026-04-16 06:00:00+00:00,2.6872252673778035e-06,3.823385242767238e-06
12,2026-04-16 10:00:00+00:00,2.883211323422562e-06,4.080998833410303e-06
13,2026-04-16 14:00:00+00:00,2.803776150645585e-06,3.959320368700418e-06
14,2026-04-16 18:00:00+00:00,2.8212125886182054e-06,3.986413822862538e-06
15,2026-04-16 22:00:00+00:00,2.8380167658721457e-06,4.023928029816074e-06
16,2026-04-17 02:00:00+00:00,2.837604848527128e-06,4.003826687760188e-06
17,2026-04-17 06:00:00+00:00,2.7032513623837876e-06,3.831593456596122e-06
18,2026-04-17 10:00:00+00:00,2.9240802022962265e-06,4.134590181252952e-06
19,2026-04-17 14:00:00+00:00,2.805120966953078e-06,3.954040516139887e-06
20,2026-04-17 18:00:00+00:00,2.8538736325042226e-06,4.010058935664552e-06
21,2026-04-17 22:00:00+00:00,2.7786115822402916e-06,3.983185432301558e-06
22,2026-04-18 02:00:00+00:00,2.709100665901177e-06,3.903542032670505e-06
23,2026-04-18 06:00:00+00:00,2.5871102955825053e-06,3.7486502624911584e-06
24,2026-04-18 10:00:00+00:00,2.7567806367265773e-06,4.002198411430403e-06
25,2026-04-18 14:00:00+00:00,2.6989782450895247e-06,3.919718404489564e-06
26,2026-04-18 18:00:00+00:00,2.688178895480784e-06,3.905004198701209e-06
27,2026-04-18 22:00:00+00:00,2.744215294402025e-06,3.902275172792499e-06
28,2026-04-19 02:00:00+00:00,3.1748797600133464e-06,4.259587066553853e-06
29,2026-04-19 06:00:00+00:00,7.32440160974354e-06,8.590755919288269e-06
30,2026-04-19 10:00:00+00:00,1.5230862849043734e-05,1.7053075467710844e-05
31,2026-04-19 14:00:00+00:00,1.5159079690764258e-05,1.6965958632656875e-05
32,2026-04-19 18:00:00+00:00,1.540494198520298e-05,1.7242695945937762e-05
33,2026-04-19 22:00:00+00:00,1.5894576806315592e-05,1.7794721682344316e-05
34,2026-04-20 02:00:00+00:00,1.4981866415617678e-05,1.676906314178476e-05
35,2026-04-20 06:00:00+00:00,1.530897430294992e-05,1.713293768339129e-05
36,2026-04-20 10:00:00+00:00,1.5562969786373972e-05,1.7419947434091688e-05
37,2026-04-20 14:00:00+00:00,1.527754648507401e-05,1.7099108624033427e-05
38,2026-04-20 18:00:00+00:00,1.4580317795571238e-05,1.6315278802656308e-05
39,2026-04-20 22:00:00+00:00,1.614278495624316e-05,1.807508404860905e-05
40,2026-04-21 02:00:00+00:00,1.4709907152427088e-05,1.645991736654559e-05
41,2026-04-21 06:00:00+00:00,1.5207227946279536e-05,1.7119215620131304e-05
42,2026-04-21 10:00:00+00:00,1.3074988620607547e-05,1.4739916661560313e-05
43,2026-04-21 14:00:00+00:00,1.6068966747865784e-05,1.7989671878935493e-05
44,2026-04-21 18:00:00+00:00,1.5036999333368154e-05,1.68259987468385e-05
45,2026-04-21 22:00:00+00:00,1.5859915110832802e-05,1.7755501598642527e-05
