,date,lending_rate,borrowing_rate
0,2025-05-15 00:00:00+00:00,3.334399702733509e-06,4.483230651448181e-06
1,2025-05-16 00:00:00+00:00,4.113176058690665e-06,5.558417074957082e-06
2,2025-05-17 00:00:00+00:00,4.437191164443909e-06,5.952482372386216e-06
3,2025-05-18 00:00:00+00:00,4.286982642501873e-06,5.6710724683904215e-06
4,2025-05-19 00:00:00+00:00,5.322696171246333e-06,7.01680348203454e-06
5,2025-05-20 00:00:00+00:00,3.7630490314606016e-06,4.935418799420715e-06
6,2025-05-21 00:00:00+00:00,4.704637287421235e-06,6.14990790299045e-06
7,2025-05-22 00:00:00+00:00,4.6614386453502814e-06,6.092873498474744e-06
8,2025-05-23 00:00:00+00:00,4.1068927167922145e-06,5.415629619484744e-06
9,2025-05-24 00:00:00+00:00,4.6459094167385815e-06,6.249842073201774e-06
10,2025-05-25 00:00:00+00:00,4.2215722091509555e-06,5.559805259797533e-06
11,2025-05-26 00:00:00+00:00,4.888364925312177e-06,6.374090531251014e-06
12,2025-05-27 00:00:00+00:00,4.528573359236668e-06,5.864033844722116e-06
13,2025-05-28 00:00:00+00:00,4.612750558321153e-06,6.093153180817135e-06
14,2025-05-29 00:00:00+00:00,4.467171558424164e-06,5.908575387965256e-06
15,2025-05-30 00:00:00+00:00,4.223096318699846e-06,5.526919465149281e-06
16,2025-05-31 00:00:00+00:00,5.017624114256309e-06,6.570319823998688e-06
17,2025-06-01 00:00:00+00:00,3.973904025590507e-06,5.250693295138918e-06
18,2025-06-02 00:00:00+00:00,4.506960692541985e-06,5.941267356269839e-06
19,2025-06-03 00:00:00+00:00,4.9995440870598e-06,6.591679929136869e-06
20,2025-06-04 00:00:00+00:00,4.404622669893488e-06,5.768145237944368e-06
21,2025-06-05 00:00:00+00:00,4.596059654828632e-06,5.986337728187702e-06
22,2025-06-06 00:00:00+00:00,4.935918431919791e-06,6.268000233313428e-06
23,2025-06-07 00:00:00+00:00,4.487622113935215e-06,5.565757659514426e-06
24,2025-06-08 00:00:00+00:00,5.563959071027548e-06,6.871495587647102e-06
25,2025-06-09 00:00:00+00:00,5.06601457492529e-06,6.345087982151566e-06
26,2025-06-10 00:00:00+00:00,5.2330951875997895e-06,6.568884022064972e-06
27,2025-06-11 00:00:00+00:00,5.252336141674912e-06,6.40548901423202e-06
28,2025-06-12 00:00:00+00:00,4.977842966144006e-06,6.297890325427871e-06
29,2025-06-13 00:00:00+00:00,4.9112606616985525e-06,6.1722928833110685e-06
30,2025-06-14 00:00:00+00:00,5.245993854664451e-06,6.405456597524622e-06
31,2025-06-15 00:00:00+00:00,5.9312864213753305e-06,7.214269308920232e-06
32,2025-06-16 00:00:00+00:00,5.756787415626421e-06,6.982478768409146e-06
33,2025-06-17 00:00:00+00:00,5.7828955542235565e-06,7.02256964787115e-06
34,2025-06-18 00:00:00+00:00,3.918331831402468e-06,5.339393995083682e-06
35,2025-06-19 00:00:00+00:00,3.817338838615076e-06,5.513261404979435e-06
36,2025-06-20 00:00:00+00:00,3.796471060039353e-06,5.38347025748227e-06
37,2025-06-21 00:00:00+00:00,4.4575835836650045e-06,6.279247164445767e-06
38,2025-06-22 00:00:00+00:00,4.297849731860375e-06,5.863469610148961e-06
39,2025-06-23 00:00:00+00:00,3.874593771736687e-06,5.237923304429319e-06
40,2025-06-24 00:00:00+00:00,4.167152616894671e-06,5.63576796942204e-06
41,2025-06-25 00:00:00+00:00,4.136834452427395e-06,5.49952040099985e-06
42,2025-06-26 00:00:00+00:00,4.649757577550898e-06,6.228312760477435e-06
43,2025-06-27 00:00:00+00:00,4.179962543192597e-06,5.627540795111241e-06
44,2025-06-28 00:00:00+00:00,4.7827214394746285e-06,6.422051208239601e-06
45,2025-06-29 00:00:00+00:00,3.951703126030442e-06,5.217767665696197e-06
46,2025-06-30 00:00:00+00:00,4.937353997068885e-06,6.530893812615356e-06
47,2025-07-01 00:00:00+00:00,3.8149272119524905e-06,5.126570738816762e-06
48,2025-07-02 00:00:00+00:00,4.4585770459425525e-06,5.9864046843732565e-06
49,2025-07-03 00:00:00+00:00,4.688229260628584e-06,6.159035954118355e-06
50,2025-07-04 00:00:00+00:00,4.500034353661222e-06,5.8629763787876704e-06
51,2025-07-05 00:00:00+00:00,4.750031760716014e-06,6.190323301673118e-06
52,2025-07-06 00:00:00+00:00,4.458258178533492e-06,5.802015843289492e-06
53,2025-07-07 00:00:00+00:00,4.90074943308488e-06,6.3929965807710654e-06
54,2025-07-08 00:00:00+00:00,4.434051743109675e-06,5.765591660649452e-06
55,2025-07-09 00:00:00+00:00,4.616915878288837e-06,5.971167580152192e-06
56,2025-07-10 00:00:00+00:00,4.763540297906265e-06,6.267261973723116e-06
57,2025-07-11 00:00:00+00:00,4.040047965257091e-06,5.57685224101095e-06
58,2025-07-12 00:00:00+00:00,3.7457511043368297e-06,5.1437541481580215e-06
59,2025-07-13 00:00:00+00:00,4.383904816842146e-06,6.013167328016224e-06
60,2025-07-14 00:00:00+00:00,4.344762275378837e-06,5.967883864169366e-06
61,2025-07-15 00:00:00+00:00,3.833545226869367e-06,5.2124946659781995e-06
62,2025-07-16 00:00:00+00:00,4.269147413526367e-06,5.866724221920574e-06
63,2025-07-17 00:00:00+00:00,4.386357980254154e-06,6.0255919630688275e-06
64,2025-07-18 00:00:00+00:00,4.098601171889767e-06,5.483379570291884e-06
65,2025-07-19 00:00:00+00:00,4.358002407207666e-06,5.729274272769989e-06
66,2025-07-20 00:00:00+00:00,4.657856686027922e-06,6.141262129057226e-06
67,2025-07-21 00:00:00+00:00,4.622778158481079e-06,6.129373331661728e-06
68,2025-07-22 00:00:00+00:00,4.175125759910006e-06,5.728667529067274e-06
69,2025-07-23 00:00:00+00:00,4.175098192758256e-06,5.582772029173939e-06
70,2025-07-24 00:00:00+00:00,4.756986172028036e-06,6.293329486627173e-06
71,2025-07-25 00:00:00+00:00,4.333962636239644e-06,5.745299823224662e-06
72,2025-07-26 00:00:00+00:00,4.181060671424157e-06,5.640603916745593e-06
73,2025-07-27 00:00:00+00:00,4.5372766085575675e-06,6.051646682052452e-06
74,2025-07-28 00:00:00+00:00,4.347192515073884e-06,5.757326609548442e-06
75,2025-07-29 00:00:00+00:00,4.835037956533857e-06,6.408414982665877e-06
76,2025-07-30 00:00:00+00:00,3.5177159744322535e-06,4.6046160178763885e-06
77,2025-07-31 00:00:00+00:00,5.573643880475559e-06,7.253028697419317e-06
78,2025-08-01 00:00:00+00:00,4.254005152091686e-06,5.462265267965198e-06
79,2025-08-02 00:00:00+00:00,5.28017589425064e-06,6.627834136193977e-06
80,2025-08-03 00:00:00+00:00,4.756383418645935e-06,5.985716620755716e-06
81,2025-08-04 00:00:00+00:00,4.8879476291656645e-06,6.297049293352279e-06
82,2025-08-05 00:00:00+00:00,4.6928051164774036e-06,5.9547222117880635e-06
83,2025-08-06 00:00:00+00:00,5.106570143597975e-06,6.436748080892932e-06
84,2025-08-07 00:00:00+00:00,4.755497642355103e-06,6.0265282798917914e-06
85,2025-08-08 00:00:00+00:00,5.095079802371279e-06,6.474822485241175e-06
86,2025-08-09 00:00:00+00:00,4.414806860269592e-06,5.79065130462919e-06
87,2025-08-10 00:00:00+00:00,4.4635873246484945e-06,5.880668206205187e-06
88,2025-08-11 00:00:00+00:00,4.539218478980394e-06,5.892171402753795e-06
89,2025-08-12 00:00:00+00:00,4.678461383630763e-06,6.028857468154824e-06
90,2025-08-13 00:00:00+00:00,5.420880111716287e-06,6.885594973952749e-06
91,2025-08-14 00:00:00+00:00,4.263595987294077e-06,5.410317519145894e-06
92,2025-08-15 00:00:00+00:00,5.308707504193375e-06,6.559172559488066e-06
93,2025-08-16 00:00:00+00:00,5.374370355516437e-06,7.145145605376207e-06
94,2025-08-17 00:00:00+00:00,4.835238435354861e-06,6.5299731156093675e-06
95,2025-08-18 00:00:00+00:00,5.730629898069349e-06,7.64149436964064e-06
96,2025-08-19 00:00:00+00:00,4.715370946507682e-06,6.236526893957837e-06
97,2025-08-20 00:00:00+00:00,5.833573357895424e-06,7.611720248668417e-06
98,2025-08-21 00:00:00+00:00,5.540766761561415e-06,7.321369415542545e-06
99,2025-08-22 00:00:00+00:00,5.366923191952018e-06,7.088253491997657e-06
100,2025-08-23 00:00:00+00:00,5.422808406030509e-06,7.083665100796881e-06
